"id","sex","political","people_main","personal_main","alcohol","smoking"
"3012959","female","not specified","not specified","not specified","not specified","not specified"
"777242","male","not specified","not specified","not specified","not specified","not specified"
"2119508","male","not specified","not specified","not specified","not specified","not specified"
"7644602","male","not specified","not specified","not specified","not specified","not specified"
"8217430","female","not specified","not specified","not specified","not specified","not specified"
"3752722","male","not specified","not specified","not specified","not specified","not specified"
"2230047","female","not specified","not specified","not specified","not specified","not specified"
"9067195","male","not specified","not specified","not specified","not specified","not specified"
"3477238","female","Liberal","not specified","not specified","not specified","not specified"
"4496664","female","not specified","not specified","not specified","not specified","not specified"
"1366310","female","not specified","not specified","not specified","not specified","not specified"
"3720668","female","not specified","not specified","not specified","not specified","not specified"
"5293055","male","not specified","not specified","not specified","not specified","not specified"
"4424765","male","Monarchist","not specified","not specified","not specified","not specified"
"6176960","male","not specified","not specified","not specified","not specified","not specified"
"3042622","female","not specified","not specified","not specified","not specified","not specified"
"3469264","female","not specified","not specified","not specified","not specified","not specified"
"5949405","male","not specified","not specified","not specified","not specified","not specified"
"4746871","male","Apathetic","not specified","not specified","not specified","not specified"
"8139457","male","not specified","not specified","not specified","not specified","not specified"
"2448655","male","not specified","not specified","not specified","not specified","not specified"
"7339085","male","not specified","not specified","not specified","not specified","not specified"
"5082005","male","Moderate","not specified","not specified","not specified","not specified"
"8958337","male","not specified","not specified","not specified","not specified","not specified"
"3473946","male","not specified","not specified","not specified","not specified","not specified"
"9617892","male","not specified","not specified","not specified","not specified","not specified"
"3837847","male","not specified","not specified","not specified","not specified","not specified"
"5668431","female","not specified","not specified","not specified","not specified","not specified"
"3953540","female","Ultraconservative","not specified","not specified","not specified","not specified"
"5719669","female","not specified","not specified","not specified","not specified","not specified"
"977614","female","Moderate","humor and love for life","not specified","negative","compromisable"
"5407543","female","Moderate","not specified","not specified","not specified","not specified"
"3662345","female","not specified","not specified","not specified","not specified","not specified"
"5576083","male","Liberal","not specified","not specified","not specified","not specified"
"7095964","female","not specified","not specified","not specified","not specified","not specified"
"5223350","female","not specified","not specified","not specified","not specified","not specified"
"5479463","male","not specified","not specified","not specified","not specified","not specified"
"107655","male","not specified","not specified","not specified","not specified","not specified"
"8130399","female","not specified","not specified","not specified","not specified","not specified"
"5421061","male","not specified","not specified","not specified","not specified","not specified"
"4528009","male","not specified","not specified","not specified","not specified","not specified"
"629810","male","not specified","not specified","not specified","not specified","not specified"
"3430236","female","not specified","not specified","not specified","not specified","not specified"
"9383385","female","not specified","not specified","not specified","not specified","not specified"
"5045346","female","not specified","not specified","not specified","not specified","not specified"
"667240","female","not specified","not specified","not specified","not specified","not specified"
"3797288","male","not specified","not specified","not specified","not specified","not specified"
"3302476","male","Ultraconservative","not specified","not specified","not specified","not specified"
"5662952","male","not specified","not specified","not specified","not specified","not specified"
"8369632","female","not specified","not specified","not specified","not specified","not specified"
"9293788","female","not specified","not specified","not specified","not specified","not specified"
"3544141","male","not specified","not specified","not specified","not specified","not specified"
"4875403","male","not specified","not specified","not specified","not specified","not specified"
"959573","female","Moderate","not specified","not specified","not specified","not specified"
"3078062","female","not specified","not specified","not specified","not specified","not specified"
"5000753","male","not specified","not specified","not specified","not specified","not specified"
"41848","male","not specified","not specified","not specified","not specified","not specified"
"3901792","male","not specified","not specified","not specified","not specified","not specified"
"1529790","female","Monarchist","not specified","not specified","not specified","not specified"
"173119","male","not specified","not specified","not specified","not specified","not specified"
"8569956","female","not specified","not specified","not specified","not specified","not specified"
"943314","female","not specified","not specified","not specified","not specified","not specified"
"8026186","male","not specified","not specified","not specified","not specified","not specified"
"15120","male","not specified","not specified","not specified","not specified","not specified"
"1055007","male","not specified","not specified","not specified","not specified","not specified"
"806945","male","Moderate","not specified","not specified","not specified","not specified"
"4870064","male","not specified","not specified","not specified","not specified","not specified"
"1859714","female","not specified","not specified","not specified","not specified","not specified"
"7486041","female","not specified","not specified","not specified","not specified","not specified"
"9308481","female","not specified","not specified","not specified","not specified","not specified"
"4053561","male","not specified","not specified","not specified","not specified","not specified"
"7886836","female","not specified","not specified","not specified","not specified","not specified"
"9010985","female","not specified","not specified","not specified","not specified","not specified"
"2550225","female","not specified","not specified","not specified","not specified","not specified"
"2696153","female","not specified","not specified","not specified","not specified","not specified"
"3444360","female","not specified","not specified","not specified","not specified","not specified"
"3095887","male","not specified","not specified","not specified","not specified","not specified"
"889132","female","not specified","not specified","not specified","not specified","not specified"
"8813750","male","Apathetic","not specified","not specified","not specified","not specified"
"934286","female","not specified","not specified","not specified","not specified","not specified"
"3691030","female","not specified","not specified","not specified","not specified","not specified"
"6540499","female","not specified","not specified","not specified","not specified","not specified"
"3355366","female","not specified","not specified","not specified","not specified","not specified"
"4356586","female","not specified","not specified","not specified","not specified","not specified"
"5109837","male","not specified","not specified","not specified","not specified","not specified"
"2284213","male","not specified","not specified","not specified","not specified","not specified"
"7455965","male","not specified","not specified","not specified","not specified","not specified"
"1407312","female","not specified","not specified","not specified","not specified","not specified"
"6481622","male","not specified","not specified","not specified","not specified","not specified"
"8577202","male","not specified","not specified","not specified","not specified","not specified"
"3595277","male","not specified","not specified","not specified","not specified","not specified"
"517333","female","not specified","not specified","not specified","not specified","not specified"
"60620","male","not specified","not specified","not specified","not specified","not specified"
"5641050","male","Liberal","not specified","not specified","not specified","not specified"
"7118357","female","Moderate","not specified","not specified","not specified","not specified"
"155026","male","not specified","not specified","not specified","not specified","not specified"
"994666","male","Moderate","not specified","not specified","not specified","not specified"
"2713511","male","not specified","not specified","not specified","not specified","not specified"
"9296546","female","not specified","not specified","not specified","not specified","not specified"
"1182017","male","not specified","not specified","not specified","not specified","not specified"
